"Team","Avg_Age","Avg_Caps","Avg_Goals","Avg_GoalsPerCaps"
"Argentina","27.9231","34.1154","6.3077","0.1849"
"Australia","27.4615","21.1538","2.8462","0.1345"
"Belgium","27.8077","51.5385","9.4615","0.1836"
"Brazil","27.8846","36.5385","6.1923","0.1695"
"Cameroon","26.3077","23.5385","3.1538","0.1340"
"Canada","26.9231","30.9615","4.7308","0.1528"
"Costa Rica","27.1538","43.1923","4.7308","0.1095"
"Croatia","27.3846","37.6538","4.8077","0.1277"
"Denmark","27.1538","38.6154","5.3077","0.1375"
"Ecuador","25.6154","24.1538","2.8462","0.1178"
"England","26.4231","31.5385","4.5385","0.1439"
"France","26.5385","34.3077","6.8846","0.2007"
"Germany","26.7692","34.5769","5.8077","0.1680"
"Ghana","24.7308","16.8462","2.4615","0.1461"
"Iran","28.9200","39.2400","5.9200","0.1509"
"Japan","27.7692","34.5000","3.2692","0.0948"
"Mexico","28.5000","49.4231","5.0769","0.1027"
"Morocco","26.3077","20.0000","2.5385","0.1269"
"Netherlands","26.6154","26.2692","4.0385","0.1537"
"Poland","27.0385","33.8462","6.0000","0.1773"
"Portugal","26.8462","40.4231","7.3846","0.1827"
"Qatar","26.9615","56.6154","7.3846","0.1304"
"Saudi Arabia","27.3462","28.1923","2.4615","0.0873"
"Senegal","26.2692","24.4231","2.8846","0.1181"
"Serbia","26.8846","29.1538","4.3077","0.1478"
"South Korea","27.7692","35.4615","4.3462","0.1226"
"Spain","25.6538","28.1154","3.0385","0.1081"
"Switzerland","27.0000","38.1923","4.5769","0.1198"
"Tunisia","27.9231","37.1154","3.9615","0.1067"
"United States","25.1538","26.3462","3.1538","0.1197"
"Uruguay","27.8077","45.5000","6.6538","0.1462"
"Wales","26.3846","38.0385","3.5385","0.0930"
