Team,Win,Draw,Lose,Win_Rate_Percentage,Goals_Scored,Goals_Conceded,Goals_Scored_per_Match,Goals_Conceded_per_Match,Current_Win_Streak,Longest_Win_Streak,Current_Unbeaten_Streak,Longest_Unbeaten_Streak,Current_Winless_Streak,Longest_Winless_Streak,Current_Lose_Streak,Longest_Lose_Streak
Qatar,35,10,18,55.5556,107,69,1.6984,1.0952,0,7,1,11,3,8,0,3
Ecuador,18,16,15,36.7347,64,56,1.3061,1.1429,0,4,6,7,2,7,0,3
Senegal,33,7,8,68.75,72,27,1.5,0.5625,0,5,5,13,1,3,0,2
Netherlands,30,11,7,62.5,111,44,2.3125,0.9167,3,4,15,15,0,5,0,2
England,34,8,9,66.6667,122,34,2.3922,0.6667,0,7,1,12,6,6,0,2
Iran,27,6,5,71.0526,85,20,2.2368,0.5263,0,10,2,15,1,2,0,2
United States,37,11,15,58.7302,119,55,1.8889,0.873,0,9,1,13,3,4,0,2
Wales,21,12,16,42.8571,54,51,1.102,1.0408,0,4,0,9,5,5,3,3
Argentina,33,12,4,67.3469,93,27,1.898,0.551,4,8,35,35,0,3,0,1
Saudi Arabia,22,13,12,46.8085,63,36,1.3404,0.766,0,9,2,11,4,4,0,3
Mexico,40,11,15,60.6061,110,62,1.6667,0.9394,0,11,0,11,1,4,1,3
Poland,21,12,14,44.6809,82,53,1.7447,1.1277,1,4,1,6,0,6,0,3
France,31,11,7,63.2653,101,40,2.0612,0.8163,0,7,0,12,1,5,1,1
Australia,22,4,6,68.75,67,18,2.0938,0.5625,4,11,4,11,0,3,0,2
Denmark,31,9,10,62.0,108,39,2.16,0.78,1,6,1,15,0,4,0,2
Tunisia,30,8,14,57.6923,74,38,1.4231,0.7308,0,4,0,10,1,3,1,3
Spain,31,12,7,62.0,112,37,2.24,0.74,1,7,1,15,0,3,0,2
Costa Rica,19,11,23,35.8491,53,58,1.0,1.0943,1,4,4,7,0,11,0,4
Germany,25,15,8,52.0833,119,57,2.4792,1.1875,0,8,1,13,2,4,0,2
Japan,35,7,11,66.0377,106,39,2.0,0.7358,0,7,2,11,1,4,0,3
Belgium,35,7,7,71.4286,128,43,2.6122,0.8776,0,12,0,13,1,2,1,2
Canada,30,4,10,68.1818,122,31,2.7727,0.7045,0,8,0,11,1,3,1,1
Morocco,28,9,8,62.2222,77,27,1.7111,0.6,0,12,4,18,1,3,0,3
Croatia,23,11,14,47.9167,81,64,1.6875,1.3333,4,4,5,9,0,5,0,3
Brazil,38,9,3,76.0,111,19,2.22,0.38,7,10,15,17,0,5,0,1
Serbia,24,14,8,52.1739,83,50,1.8043,1.087,2,5,5,8,0,4,0,2
Switzerland,23,10,16,46.9388,90,55,1.8367,1.1224,3,6,3,8,0,7,0,3
Cameroon,18,12,9,46.1538,44,27,1.1282,0.6923,0,6,0,9,2,5,2,2
Portugal,29,12,7,60.4167,104,34,2.1667,0.7083,0,5,0,13,1,4,1,1
Ghana,15,11,10,41.6667,40,32,1.1111,0.8889,1,3,1,7,0,6,0,2
Uruguay,20,10,14,45.4545,63,42,1.4318,0.9545,1,5,1,7,0,5,0,4
South Korea,31,12,6,63.2653,88,35,1.7959,0.7143,1,7,5,14,0,3,0,2
